,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-11,36130.59567418981,36309.68165027006,35772.42372202932,36264.91015625,11661063,0.0,0.0
2019-01-14,36220.1367772706,36443.99423572097,35682.8788769897,35861.96484375,11984996,0.0,0.0
2019-01-15,35861.958984375,36802.16015625,35682.873046875,36802.16015625,11492756,0.0,0.0
2019-01-16,36846.93745759198,37115.56640625,36443.99403460495,37115.56640625,8491595,0.0,0.0
2019-01-17,37339.419910235396,37697.59180385876,37115.5624767208,37563.27734375,11736903,0.0,0.0
2019-01-18,37608.046875,37966.21875,37563.275390625,37876.67578125,11029256,0.0,0.0
2019-01-21,38234.857410453216,38279.62890625,37518.51347770468,38279.62890625,11355701,0.0,0.0
2019-01-22,38279.625083407474,38369.16806605872,37473.73823954626,37742.3671875,9964356,0.0,0.0
2019-01-23,37026.02142392113,37831.90822637649,37026.02142392113,37608.05078125,11071079,0.0,0.0
2019-01-24,38548.2578125,38593.029308217185,37921.45687245935,38548.2578125,14747623,0.0,0.0
2019-01-25,39667.53322276536,40070.47656250001,39175.046918645254,40070.4765625,22789395,0.0,0.0
2019-01-28,40294.34569228635,40742.06064442287,39936.17373057714,40339.1171875,17998914,0.0,0.0
2019-01-29,40339.115157108514,40742.05859375,39712.314255666206,40742.05859375,16215017,0.0,0.0
2019-01-30,40115.25754310344,41547.9453125,40115.25754310344,41547.9453125,17505980,0.0,0.0
2019-01-31,41771.80084473185,42129.97277051733,41324.08593749999,41324.0859375,21621145,0.0,0.0
2019-02-01,41771.79688764159,42040.425806533174,41413.62499578614,41503.16796875,13832454,0.0,0.0
2019-02-07,41906.12124594156,42174.75022828734,41368.86328125,41368.86328125,15872001,0.0,0.0
2019-02-08,40921.14070347377,40921.14070347377,39980.93944004604,40115.25390625,12689196,0.0,0.0
2019-02-11,39846.62881944444,40294.34375,39622.77135416667,40294.34375,11125044,0.0,0.0
2019-02-12,39980.941228114825,41413.62893169789,39980.941228114825,41234.54296875,13184367,0.0,0.0
2019-02-13,41547.94926948052,41816.5782518263,41189.777293019484,41368.86328125,11299738,0.0,0.0
2019-02-14,41727.01577302631,42532.90234374999,41324.07248766447,42532.90234375,17259341,0.0,0.0
2019-02-15,41861.343839067595,41950.886820541535,40876.37104285424,41234.54296875,10554643,0.0,0.0
2019-02-18,41637.49226359578,41950.89274299919,41055.46280184659,41368.86328125,8183728,0.0,0.0
2019-02-19,41055.457018498375,41324.08596300327,40697.285092491846,41145.0,6741395,0.0,0.0
2019-02-20,41861.337890625,42174.73828125,41637.48046875,41995.65234375,11506720,0.0,0.0
2019-02-21,41637.48240315495,42264.28321352502,41368.853484424915,42040.42578125,8694009,0.0,0.0
2019-02-22,41637.48239494963,42219.51171875,41592.710908503446,42219.51171875,6895772,0.0,0.0
2019-02-25,42443.37696343717,42577.69144749868,42129.97650062698,42398.60546875,7484716,0.0,0.0
2019-02-26,42398.597681316845,42488.14065424465,41637.48241143048,41861.33984375,7985547,0.0,0.0
2019-02-27,42085.19727606952,42309.054708389034,41861.33984375,41861.33984375,8045211,0.0,0.0
2019-02-28,41547.9375,41637.48046875,40383.87890625,40383.87890625,23569321,0.0,0.0
2019-03-04,41189.763621794875,41279.30658619008,40115.248049052396,40160.01953125,12926539,0.0,0.0
2019-03-05,39936.16996822034,40383.88487817797,39533.22654925847,39622.76953125,10612405,0.0,0.0
2019-03-06,39398.90625,39667.53515625,39130.27734375,39398.90625,10202544,0.0,0.0
2019-03-07,38861.65034448819,40249.56642821991,38861.65034448819,39801.8515625,11049749,0.0,0.0
2019-03-08,39801.85357359446,40115.25399543379,39219.82421875,39219.82421875,7729069,0.0,0.0
2019-03-11,39757.08805841924,39801.859553980525,39085.515625,39085.515625,10717408,0.0,0.0
2019-03-12,39667.54096969485,40249.5703518687,39533.2264968855,39980.94140625,11431977,0.0,0.0
2019-03-13,39622.7735265821,39801.85950862315,39130.287075969216,39264.6015625,8108343,0.0,0.0
2019-03-14,39130.287075969216,39667.54502209236,38995.972589438425,39264.6015625,18039161,0.0,0.0
2019-03-15,39219.82805429864,39622.77149321267,39130.2850678733,39578.0,16814163,0.0,0.0
2019-03-18,39354.134765625,39533.220703125,38906.419921875,39130.27734375,8188876,0.0,0.0
2019-03-19,39175.0527210279,39309.3671875,38995.96676573178,39309.3671875,7609563,0.0,0.0
2019-03-20,39219.8222545403,39577.99414727582,38593.02144225312,39443.6796875,9846242,0.0,0.0
2019-03-21,39936.169762131954,41413.62895736778,39443.68336372001,41055.45703125,21138016,0.0,0.0
2019-03-22,41950.89068793636,42085.20517252954,41413.63274956364,41682.26171875,12535911,0.0,0.0
2019-03-25,40562.97262190934,40876.37307263049,40115.25769230769,40742.05859375,8699728,0.0,0.0
2019-03-26,40742.056672997234,40921.14263639502,40204.79878280387,40518.19921875,9729811,0.0,0.0
2019-03-27,40070.484297477946,40831.59964167585,39622.76938912624,40607.7421875,9568081,0.0,0.0
2019-03-28,40566.23183180045,40791.85047380156,39979.62336259755,40475.984375,6821306,354.0,0.0
2019-03-29,40160.113206886905,40521.10298852184,39889.3708706607,40295.484375,11491713,0.0,0.0
2019-04-01,40791.85557713651,41017.474247364036,40475.98943881798,40656.484375,7362129,0.0,0.0
2019-04-02,41107.716026297814,41604.07703210382,40927.22111509563,41288.2109375,9480688,0.0,0.0
2019-04-03,42190.67975875134,42190.67975875134,41333.32904707618,42055.30859375,12436570,0.0,0.0
2019-04-04,41649.19621522231,42506.54694988019,41649.19621522231,42371.17578125,12650168,0.0,0.0
2019-04-05,42371.177136139275,42912.661827974924,42055.31106590181,42280.9296875,8546339,0.0,0.0
2019-04-08,42641.910357214634,42641.910357214634,41649.18863461281,42100.42578125,8507909,0.0,0.0
2019-04-09,42145.54949591372,42371.16806923232,41694.31234927653,42100.42578125,6878761,0.0,0.0
2019-04-10,41874.81624732334,42145.55859375,41558.95017649223,42145.55859375,11883995,0.0,0.0
2019-04-11,42145.55489020271,42235.80233108108,41649.193965371625,41739.44140625,13697399,0.0,0.0
2019-04-12,41558.95009838581,42326.05341181964,41513.82637406617,42280.9296875,7668936,0.0,0.0
2019-04-15,42551.66931787991,42867.535367959616,42416.29815356004,42461.421875,8733019,0.0,0.0
2019-04-16,42777.29697420635,42777.29697420635,42235.812202380956,42641.92578125,7730881,0.0,0.0
2019-04-17,42687.04048219979,42957.78281083953,42416.29815356004,42461.421875,5513658,0.0,0.0
2019-04-18,42596.79913651316,42641.92286441201,41062.5923879523,41152.83984375,12808747,0.0,0.0
2019-04-19,41288.20331901904,41513.82191639073,40836.96612427566,40882.08984375,8479710,0.0,0.0
2019-04-22,40972.34247519294,41423.57972712238,40701.60012403528,40927.21875,6006957,0.0,0.0
2019-04-23,40656.476480399615,41062.59000795078,40611.35275511615,40791.84765625,6920566,0.0,0.0
2019-04-24,40972.34280726257,41197.96143505586,39844.249668296085,40385.734375,13299267,0.0,0.0
2019-04-25,39934.49459336507,40611.35043393057,39799.123425251964,40295.484375,10868965,0.0,0.0
2019-04-26,39889.375905797104,40611.35556020067,39528.38607859532,40475.984375,9739982,0.0,0.0
2019-04-29,40746.72087452601,41649.1953125,40701.597152627306,41649.1953125,8777517,0.0,0.0
2019-04-30,41513.82821019629,41784.57056808888,40927.21976809569,41378.45703125,11121273,0.0,0.0
2019-05-02,41062.592209626906,41649.20066976444,40972.344754221136,41423.58203125,8625126,0.0,0.0
